January,,,,,,
2016,1,Cash,,100,500000,
,,,"Owner, Capital",400,,500000
,,,To record initial investment.,,,
,,,,,,
,4,Cash,,100,100000,
,,,Notes Payable,310,,100000
,,,To record loan from BDO.,,,
,,Taxes and licenses,,610,4000,
,,,Cash,100,,4000
,,,To record payment of permits.,,,
,,Prepaid Rent,,105,60000,
,,,Cash,100,,60000
,,,To record payment of rent in advance.,,,
,,,,,,
,6,Musical Instrument ,,210,130000,
,,  ,Cash,100,,130000
,,,To record purchase of grand piano.,,,
,,Supplies,,115,20000,
,,,Cash,100,,20000
,,,To record purchase of supplies.,,,
,,Cash,,100,10000,
,,,Unearned Service Income,305,,10000
,,,To record partial fee of the students.,,,
,,,,,,
,7,Advertising expense,,605,40000,
,,,Cash,100,,40000
,,,To record payment for advertisement.,,,
,,Cash,,100,60000,
,,,Unearned Service Income,305,,60000
,,,To record full fee from the students.,,,
,,,,,,
,,Cash,,100,10000,
,,,Unearned Service Income,305,,10000
,,,To record full fee from students.,,,
,,Office Equipment,,220,100000,
,,,Cash,100,,100000
,,,To record purchase of computers.,,,
,,Furniture,,200,10000,
,,,Cash,100,,10000
,,,To record purchase of chairs.,,,
,,Cash,,100,30000,
,,,Unearned Service Income,305,,30000
,,,To record full fee from students.,,,
,,,,,,
,11,Communication expense,,630,5000,
,,,Cash,100,,5000
,,,To record payment to Globe.,,,
,,Cash,,100,80000,
,,,Unearned Service Income,305,,80000
,,,To record full fee from the students.,,,
,,Cash,,100,15000,
,,,Unearned Service Income,305,,15000
,,,To record partial fee from the students.,,,
,,,,,,
,15,Cash,,100,30000,
,,,Unearned Service Income,305,,30000
,,,To record remaining fee from the students.,,,
,,"Owner, Drawing",,405,5000,
,,,Cash,100,,5000
,,,To record withdrawal of the owner.,,,
,,Office equipment,,220,40000,
,,,Cash,100,,40000
,,,To record purchase of printers.,,,
,,,,,,
,18,Cash,,100,60000,
,,,Unearned Service Income,305,,60000
,,,To record full fee from the students.,,,
,,Cash,,100,4000,
,,,Unearned Service Income,305,,4000
,,,To record partial fee from the students.,,,
,,,,,,
,20,Cash,,100,40000,
,,,Unearned Service Income,305,,40000
,,,To record remaining fee from the students.,,,
,,Machineries,,230,30000,
,,,Accounts Payable,300,,30000
,,,To record purchase of air-conditioner on account.,,,
,,"Owner, Drawing",,405,1500,
,,,Cash,100,,1500
,,,To record withdrawal of cash.,,,
,,Utilities Expense,,620,500,
,,,Cash,100,,500
,,,To record payment of water.,,,
,,,,,,
,30,Salaries Expense,,625,30000,
,,,Cash,100,,30000
,,,To record payment to employees.,,,
,,Utilities Expense,,620,6000,
,,,Cash,100,,6000
,,,To record payment of electricity.,,,
,,,,,,
,31,Supplies Expense,,615,10000,
,,,Supplies,115,,10000
,,,To adjust supplies.,,,
,,Rent Expense,,600,60000,
,,,Prepaid Rent,105,,60000
,,,To adjust prepaid rent.,,,
,,Unearned Service Income,,305,339000,
,,,Service Income,500,,339000
,,,To adjust unearned service income.,,,
,,,,,,
February,,,,,,
,3,Cash,,100,5000,
,,,Unearned Service Income,305,,5000
,,,To record partial fee of the students.,,,
,,Cash,,100,30000,
,,,Unearned Service Income,305,,30000
,,,To record full fee of the students.,,,
,,,,,,
,8,Cash,,100,40000,
,,,Unearned Service Income,305,,40000
,,,To record full fee of the students.,,,
